company_name,city,phone_primary,website,source_url,priority,contact_status,next_step,notes
"Plomberie Pro-Drain","Brossard","438-806-1850","https://plomberieprodrain.com/","https://www.yellowpages.ca/bus/Quebec/Brossard/Plomberie-Pro-Drain/100995638.html","high","not contacted","Call first","24/7 emergency; residential/commercial; drain and leak service"
"ARSENAL PLOMBERIE","Brossard","514-679-4000","http://arsenalplomberie.com/","https://www.yellowpages.ca/bus/Quebec/Brossard/ARSENAL-PLOMBERIE/100984207.html","high","not contacted","Call first","24/7 general plumbing; repairs; drain unclogging"
"Sam Plomberie","Brossard","514-659-6979","http://samplomberie.ca/","https://www.yellowpages.ca/bus/Quebec/Brossard/Sam-Plomberie/101770819.html","high","not contacted","Call first","24/7; residential/commercial; repairs and backwater valves"
"Plomberie Boucherville","Boucherville","514-475-5516","https://www.plomberieboucherville.ca/","https://www.yellowpages.ca/bus/Quebec/Boucherville/Plomberie-Boucherville/104328193.html","high","not contacted","Call first","Residential; emergency plumber; installs and unclogging"
"Plomberie C L Langlois","Boucherville","450-928-0967","http://plomberie-cllanglois.ca/","https://www.yellowpages.ca/bus/Quebec/Boucherville/Plomberie-C-L-Langlois/1244828.html","medium","not contacted","Call after priority leads","Plumbing plus heating; commercial/residential"
"Plomberie Monteregie Inc","Longueuil","438-805-8306","http://www.plomberiemonteregie.ca/","https://www.yellowpages.ca/bus/Quebec/Longueuil/Plomberie-Monteregie-Inc/101120348.html","medium","not contacted","Call after priority leads","Longueuil-based; pipe cleaning and leak work"
"Plomberie Foster","Longueuil","514-544-5046","https://plomberiefoster.com/","https://www.yellowpages.ca/bus/Quebec/Longueuil/Plomberie-Foster/8145751.html","high","not contacted","Call first","Residential/commercial; repairs; drains; backwater valves"
"Plomberie PSO","Saint-Hubert","438-792-2731","","https://www.yellowpages.ca/bus/Quebec/Saint-Hubert/Plomberie-PSO/104597071.html","medium","not contacted","Call after priority leads","Residential/commercial; installation and repair"
"Plomberie Bouthillier Inc","Saint-Hubert","450-676-6176","","https://www.yellowpages.ca/bus/Quebec/Saint-Hubert/Plomberie-Bouthillier-Inc/3960148.html","low","not contacted","Call if list runs thin","Basic plumbing contractor listing"
"Ateliers De Plomberie Rive-Sud","Saint-Hubert","450-926-9888","http://www.plomberierivesud.com/","https://www.yellowpages.ca/bus/Quebec/Saint-Hubert/Ateliers-De-Plomberie-Rive-Sud/6031113.html","medium","not contacted","Call after priority leads","South Shore plumber; pipe thawing; service work"
